,1stServesIn,1stWon,2ndWon,win
0,51,79,59,1
1,68,75,54,1
2,63,71,60,1
3,52,92,60,1
4,67,59,43,1
5,58,76,45,1
6,51,90,48,1
7,42,89,50,1
8,63,69,68,1
9,68,82,76,1
10,58,69,47,1
11,67,72,57,1
12,61,76,63,1
13,47,86,62,1
14,55,79,56,1
15,58,83,68,1
16,72,82,64,1
17,48,64,47,1
18,61,62,53,1
19,53,80,57,1
20,54,86,41,1
21,68,62,56,1
22,59,74,40,1
23,63,77,52,1
24,74,73,27,1
25,51,68,48,1
26,68,73,47,1
27,56,80,50,1
28,62,70,51,1
29,64,68,61,1
30,57,82,32,1
31,70,54,53,1
32,47,74,56,1
33,57,58,77,1
34,47,82,78,1
35,63,66,46,1
36,64,62,36,1
37,64,78,55,1
38,81,59,46,1
39,51,75,48,1
40,64,69,55,1
41,67,65,70,1
42,46,71,46,1
43,45,76,43,1
44,60,66,48,1
45,65,78,20,1
46,57,80,52,1
47,48,86,52,1
48,61,78,55,1
49,56,76,41,1
50,69,56,55,1
51,59,64,50,1
52,64,76,71,1
53,56,75,50,1
54,71,89,26,1
55,70,73,67,1
56,66,66,60,1
57,63,65,52,1
58,52,83,55,1
59,67,62,58,1
60,50,85,58,1
61,70,63,45,1
62,69,71,60,1
63,53,83,59,1
64,69,84,63,1
65,80,75,90,1
66,56,78,55,1
67,52,78,60,1
68,56,66,40,1
69,51,62,51,1
70,53,78,62,1
71,66,84,63,1
72,79,80,75,1
73,62,73,50,1
74,58,75,56,1
75,65,82,61,1
76,68,76,61,1
77,66,70,44,1
78,58,75,68,1
79,70,65,60,1
80,42,76,58,1
81,53,71,50,1
82,47,66,62,1
83,72,79,53,1
84,50,73,64,1
85,65,72,56,1
86,54,88,65,1
87,61,69,55,1
88,61,65,57,1
89,57,71,36,1
90,57,87,34,1
91,62,75,65,1
92,61,71,56,1
93,51,74,55,1
94,70,90,44,1
95,55,82,55,1
96,48,85,61,1
97,66,82,44,1
98,56,87,54,1
99,57,72,55,1
100,50,68,50,1
101,53,84,60,1
102,62,92,58,1
103,59,77,50,1
104,54,81,70,1
105,72,75,50,1
106,59,70,69,1
107,50,75,60,1
108,52,78,51,1
109,57,68,59,1
110,65,83,43,1
111,66,76,59,1
112,60,84,35,1
113,54,67,47,1
114,46,84,59,1
115,58,67,60,1
116,51,75,60,1
117,48,82,54,1
118,54,90,54,1
119,52,73,56,1
120,56,78,57,1
121,54,84,59,1
122,54,83,57,1
123,55,86,66,1
124,55,76,36,1
125,59,75,57,1
126,54,75,39,1
127,80,84,54,1
128,60,82,40,1
129,61,78,63,1
130,50,75,68,1
131,55,89,61,1
132,47,72,41,1
133,56,80,49,1
134,46,86,48,1
135,58,74,68,1
136,64,60,57,1
137,54,84,47,1
138,61,79,33,1
139,80,77,72,1
140,43,77,54,1
141,49,79,53,1
142,59,65,52,1
143,56,92,71,1
144,40,78,64,1
145,70,76,44,1
146,50,78,54,1
147,52,78,54,1
148,50,75,50,1
149,76,80,33,1
150,49,83,45,1
151,49,81,63,1
152,47,90,59,1
153,45,81,45,1
154,64,63,66,1
155,77,72,50,1
156,49,69,61,1
157,45,64,67,1
158,53,69,51,1
159,69,73,69,1
160,51,80,57,1
161,57,87,53,1
162,63,88,60,1
163,56,74,50,1
164,56,71,54,1
165,55,71,58,1
166,60,67,46,1
167,50,68,58,1
168,53,71,77,1
169,49,68,65,1
170,57,81,48,1
171,54,73,63,1
172,55,66,53,1
173,62,69,60,1
174,36,85,56,1
175,58,63,65,1
176,56,84,68,1
177,60,80,75,1
178,58,73,52,1
179,55,76,59,1
180,47,84,76,1
181,56,74,63,1
182,72,87,50,1
183,64,75,55,1
184,42,90,54,1
185,46,85,47,1
186,61,73,68,1
187,63,75,45,1
188,57,82,52,1
189,57,85,43,1
190,65,67,54,1
191,54,82,58,1
192,49,78,57,1
193,44,61,43,1
194,51,95,73,1
195,73,80,53,1
196,54,81,59,1
197,59,67,57,1
198,63,79,64,1
199,56,89,50,1
200,48,100,58,1
201,69,76,60,1
202,57,72,60,1
203,60,89,66,1
204,67,81,69,1
205,60,75,50,1
206,79,91,50,1
207,50,82,82,1
208,46,83,64,1
209,61,68,54,1
210,62,68,57,1
211,69,70,53,1
212,66,76,47,1
213,44,63,55,1
214,44,74,50,1
215,57,66,57,1
216,50,64,60,1
217,61,57,61,1
218,56,64,50,1
219,59,78,64,1
220,66,85,57,1
221,55,69,47,1
222,62,86,55,1
223,63,65,50,1
224,56,68,45,1
225,55,65,51,1
226,63,73,37,1
227,45,75,61,1
228,63,72,56,1
229,65,63,57,1
230,41,73,81,1
231,43,84,54,1
232,62,88,62,1
233,60,67,55,1
234,66,80,50,1
235,72,58,52,1
236,60,82,50,1
237,73,76,50,1
238,60,71,60,1
239,60,87,60,1
240,56,74,55,1
241,61,91,66,1
242,66,86,68,1
243,80,81,37,1
244,50,75,65,1
245,68,78,76,1
246,68,77,37,1
247,54,75,52,1
248,74,65,57,1
249,72,68,44,1
250,58,80,52,1
251,49,87,52,1
252,76,69,45,1
253,63,69,73,1
254,56,80,65,1
255,61,77,64,1
256,60,80,71,1
257,60,80,48,1
258,57,75,57,1
259,58,85,43,1
260,75,80,50,1
261,74,68,64,1
262,73,74,61,1
263,58,73,77,1
264,72,50,45,1
265,69,76,66,1
266,70,66,45,1
267,69,86,52,1
268,52,77,46,1
269,59,65,62,1
270,83,65,50,1
271,69,74,70,1
272,48,76,56,1
273,58,72,61,1
274,55,72,51,1
275,58,76,37,1
276,57,90,66,1
277,66,76,69,1
278,61,73,62,1
279,47,89,45,1
280,59,73,35,1
281,54,83,55,1
282,55,88,40,1
283,62,83,38,1
284,54,74,47,1
285,48,69,57,1
286,64,67,64,1
287,54,66,52,1
288,54,80,50,1
289,67,78,62,1
290,57,60,50,1
291,51,87,58,1
292,77,77,57,1
293,54,65,51,1
294,52,75,40,1
295,43,89,54,1
296,68,66,48,1
297,50,83,55,1
298,60,82,68,1
299,43,85,62,1
300,56,74,34,1
301,64,84,50,1
302,57,88,55,1
303,46,75,57,1
304,68,70,60,1
305,47,94,52,1
306,46,67,65,1
307,44,76,53,1
308,57,85,61,1
309,51,72,67,1
310,56,67,41,1
311,43,80,55,1
312,58,83,53,1
313,44,72,51,1
314,38,85,68,1
315,65,83,56,1
316,54,66,60,1
317,57,85,45,1
318,67,73,65,1
319,60,79,59,1
320,44,68,61,1
321,45,85,66,1
322,67,69,76,1
323,64,75,48,1
324,48,72,52,1
325,44,73,43,1
326,46,75,50,1
327,69,65,54,1
328,43,65,72,1
329,55,75,56,1
330,56,75,57,1
331,59,67,64,1
332,63,66,68,1
333,51,87,60,1
334,62,73,58,1
335,53,86,52,1
336,58,76,61,1
337,59,64,51,1
338,54,55,58,1
339,47,77,75,1
340,66,77,44,1
341,50,61,69,1
342,54,71,51,1
343,58,69,48,1
344,79,85,66,1
345,48,71,56,1
346,80,85,62,1
347,61,75,72,1
348,57,77,53,1
349,49,80,66,1
350,55,72,46,1
351,61,65,54,1
352,86,72,66,1
353,61,76,63,1
354,75,67,29,1
355,60,75,53,1
356,83,80,40,1
357,79,71,70,1
358,45,100,41,1
359,52,74,61,1
360,64,71,52,1
361,57,74,56,1
362,52,61,66,1
363,61,68,43,1
364,66,79,45,1
365,85,66,88,1
366,61,72,56,1
367,57,76,51,1
368,56,75,42,1
369,63,76,46,1
370,69,60,61,1
371,69,73,68,1
372,54,87,60,1
373,51,64,46,1
374,61,65,40,1
375,49,78,48,1
376,75,69,38,1
377,73,92,60,1
378,74,74,39,1
379,63,80,51,1
380,46,86,69,1
381,56,73,50,1
382,45,81,50,1
383,52,79,53,1
384,62,70,66,1
385,55,84,50,1
386,66,79,55,1
387,67,82,59,1
388,52,81,67,1
389,76,90,100,1
390,63,74,45,1
391,53,90,65,1
392,68,79,55,1
393,59,77,71,1
394,63,75,80,1
395,65,78,60,1
396,68,71,57,1
397,63,94,55,1
398,47,79,57,1
399,71,81,46,1
400,52,76,60,1
401,52,76,62,1
402,60,69,57,1
403,51,84,53,1
404,64,90,51,1
405,58,89,50,1
406,56,68,61,1
407,58,92,72,1
408,51,89,70,1
409,67,72,70,1
410,61,82,61,1
411,64,70,65,1
412,42,73,67,1
413,53,86,52,1
414,57,90,54,1
415,43,88,71,1
416,60,66,51,1
417,59,87,50,1
418,50,75,59,1
419,59,93,45,1
420,60,76,56,1
421,51,80,52,1
422,52,81,58,1
423,50,91,57,1
424,69,79,68,1
425,60,79,55,1
426,49,67,51,1
427,61,75,64,1
428,55,69,47,1
429,55,89,69,1
430,48,76,41,1
431,50,85,57,1
432,74,75,78,1
433,45,82,53,1
434,60,77,56,1
435,55,78,60,1
436,63,66,54,1
437,65,78,47,1
438,52,68,59,1
439,62,81,45,1
440,59,80,74,1
441,58,74,45,1
442,59,73,66,1
443,61,68,50,1
444,63,76,55,1
445,61,76,48,1
446,60,84,52,1
447,52,60,54,1
448,62,70,63,1
449,49,77,56,1
450,58,74,63,1
451,66,72,63,1
452,60,70,50,1
453,54,76,37,1
454,56,68,29,1
455,50,92,65,1
456,56,64,47,1
457,55,80,76,1
458,50,60,57,1
459,63,72,60,1
460,44,57,75,1
461,64,74,78,1
462,60,78,66,1
463,56,71,51,1
464,61,90,51,1
465,55,79,47,1
466,52,63,54,1
467,62,70,63,1
468,55,83,42,1
469,53,85,37,1
470,67,77,47,1
471,60,61,55,1
472,59,77,60,1
473,65,76,50,1
474,58,81,42,1
475,66,80,61,1
476,41,79,61,1
477,45,70,51,1
478,65,67,52,1
479,58,91,75,1
480,64,84,78,1
481,65,88,54,1
482,60,67,70,1
483,55,61,64,1
484,59,85,46,1
485,63,82,62,1
486,62,86,44,1
487,72,70,34,1
488,64,72,61,1
489,60,74,44,1
490,57,65,59,1
491,62,71,56,1
492,61,81,85,1
493,63,84,50,1
494,56,66,57,1
495,43,81,52,1
496,60,88,68,1
497,64,76,66,1
498,59,75,55,1
499,64,78,55,1
500,63,77,50,1
501,58,87,52,1
502,61,63,53,1
503,54,80,72,1
504,59,70,48,1
505,48,80,77,1
506,64,71,50,1
507,66,77,68,1
508,57,62,53,1
509,59,69,70,1
510,53,80,45,1
511,63,82,64,1
512,64,80,47,1
513,62,76,56,1
514,68,91,35,1
515,48,86,45,1
516,57,68,34,1
517,64,76,55,1
518,52,82,61,1
519,59,72,56,1
520,55,69,44,1
521,68,84,50,1
522,54,84,40,1
523,71,82,42,1
524,78,60,57,1
525,56,70,41,1
526,62,82,38,1
527,56,90,47,1
528,50,77,54,1
529,58,66,55,1
530,57,63,50,1
531,54,76,54,1
532,60,87,47,1
533,56,81,56,1
534,61,76,54,1
535,57,70,46,1
536,67,63,74,1
537,56,65,51,1
538,50,76,52,1
539,51,78,53,1
540,66,76,56,1
541,61,94,76,1
542,59,72,59,1
543,50,82,52,1
544,48,70,57,1
545,41,81,55,1
546,57,77,60,1
547,56,72,54,1
548,52,72,48,1
549,66,82,64,1
550,63,81,45,1
551,61,74,37,1
552,56,68,67,1
553,61,70,59,1
554,42,67,60,1
555,65,79,47,1
556,77,55,93,1
557,53,64,64,1
558,58,89,80,1
559,54,72,52,1
560,52,85,48,1
561,63,75,52,1
562,53,68,71,1
563,51,70,55,1
564,61,80,64,1
565,51,91,51,1
566,45,77,50,1
567,53,76,55,1
568,54,74,57,1
569,74,64,50,1
570,45,95,64,1
571,60,92,31,1
572,60,71,41,1
573,60,77,50,1
574,67,86,50,1
575,56,63,35,1
576,57,61,45,1
577,56,73,51,1
578,72,82,60,1
579,66,81,70,1
