,winner_ht,loser_ht,w_#ServePoints,w_%1stServesIn,w_%1stWon,w_%2ndWon,w_#bpFaced,l_#ServePoints,l_%1stServesIn,l_%1stWon,l_%2ndWon,l_#bpFaced
119317,188.0,180.0,96.0,51,79,59,5.0,106.0,51,70,56,7.0
119318,190.0,183.0,76.0,68,75,54,6.0,74.0,43,78,42,6.0
119319,175.0,173.0,55.0,63,71,60,1.0,56.0,58,60,30,11.0
119320,183.0,185.0,53.0,52,92,60,0.0,70.0,61,67,51,8.0
119321,180.0,185.0,98.0,67,59,43,11.0,92.0,50,73,39,9.0
119322,175.0,175.0,101.0,58,76,45,4.0,105.0,61,63,52,5.0
119323,185.0,185.0,60.0,51,90,48,3.0,69.0,65,62,50,12.0
119324,180.0,188.0,69.0,42,89,50,2.0,64.0,64,58,56,6.0
119325,193.0,193.0,68.0,63,69,68,7.0,87.0,49,76,31,11.0
119326,193.0,188.0,41.0,68,82,76,2.0,63.0,46,72,32,9.0
119327,175.0,180.0,111.0,58,69,47,13.0,110.0,50,69,47,8.0
119328,190.0,183.0,65.0,67,72,57,4.0,100.0,59,64,41,18.0
119329,201.0,180.0,49.0,61,76,63,3.0,55.0,58,62,34,5.0
119330,185.0,188.0,46.0,47,86,62,3.0,66.0,59,61,37,11.0
119331,190.0,196.0,87.0,55,79,56,4.0,78.0,60,76,41,5.0
119332,188.0,180.0,53.0,58,83,68,0.0,51.0,54,75,47,5.0
119333,190.0,188.0,62.0,72,82,64,2.0,91.0,46,66,53,6.0
119334,183.0,175.0,140.0,48,64,47,15.0,105.0,72,57,48,16.0
119335,175.0,180.0,112.0,61,62,53,9.0,96.0,67,61,58,12.0
119336,185.0,180.0,56.0,53,80,57,9.0,59.0,42,68,41,9.0
119337,193.0,193.0,53.0,54,86,41,3.0,57.0,56,59,32,7.0
119338,175.0,190.0,132.0,68,62,56,13.0,121.0,58,69,46,14.0
119339,201.0,185.0,79.0,59,74,40,6.0,47.0,51,58,43,6.0
119340,188.0,190.0,63.0,63,77,52,3.0,54.0,44,70,50,10.0
119341,190.0,183.0,85.0,74,73,27,7.0,70.0,50,68,48,9.0
119342,175.0,185.0,68.0,51,68,48,9.0,85.0,64,67,46,12.0
119343,175.0,193.0,60.0,68,73,47,8.0,48.0,50,54,41,11.0
119344,188.0,201.0,55.0,56,80,50,2.0,55.0,49,77,25,8.0
119345,175.0,190.0,82.0,62,70,51,10.0,90.0,80,59,50,12.0
119346,188.0,175.0,59.0,64,68,61,7.0,73.0,63,54,48,10.0
119347,188.0,175.0,87.0,57,82,32,7.0,102.0,52,70,37,10.0
119348,183.0,183.0,50.0,70,54,53,8.0,53.0,45,45,41,10.0
119349,188.0,178.0,74.0,47,74,56,5.0,71.0,64,47,52,9.0
119350,173.0,185.0,21.0,57,58,77,1.0,25.0,44,36,28,4.0
119351,188.0,185.0,36.0,47,82,78,0.0,64.0,56,52,35,11.0
119352,193.0,185.0,108.0,63,66,46,12.0,104.0,64,67,32,10.0
119353,170.0,178.0,102.0,64,62,36,14.0,94.0,56,50,46,16.0
119354,190.0,193.0,51.0,64,78,55,1.0,65.0,38,72,40,10.0
119355,183.0,180.0,70.0,81,59,46,6.0,83.0,67,57,44,9.0
119356,193.0,188.0,64.0,51,75,48,3.0,61.0,52,53,58,6.0
119357,175.0,190.0,56.0,64,69,55,4.0,70.0,55,64,38,7.0
119358,178.0,196.0,95.0,67,65,70,5.0,101.0,57,65,60,3.0
119359,175.0,188.0,60.0,46,71,46,7.0,53.0,50,62,30,10.0
119360,180.0,183.0,84.0,45,76,43,8.0,67.0,53,61,48,5.0
119361,185.0,183.0,79.0,60,66,48,10.0,76.0,56,62,45,10.0
119362,188.0,173.0,72.0,65,78,20,13.0,85.0,65,53,44,10.0
119363,180.0,196.0,80.0,57,80,52,6.0,65.0,52,79,61,4.0
119364,188.0,183.0,45.0,48,86,52,1.0,46.0,69,43,35,6.0
119365,173.0,188.0,52.0,61,78,55,4.0,59.0,52,67,39,9.0
119366,193.0,170.0,67.0,56,76,41,6.0,74.0,60,64,34,12.0
119367,183.0,190.0,66.0,69,56,55,6.0,61.0,55,64,29,8.0
119368,175.0,193.0,99.0,59,64,50,14.0,84.0,52,70,47,11.0
119369,178.0,175.0,39.0,64,76,71,0.0,56.0,55,54,36,10.0
119370,180.0,185.0,79.0,56,75,50,7.0,74.0,51,63,44,8.0
119371,180.0,188.0,52.0,71,89,26,1.0,68.0,51,60,42,10.0
119372,188.0,173.0,95.0,70,73,67,3.0,97.0,58,71,55,10.0
119373,183.0,193.0,68.0,66,66,60,3.0,113.0,60,66,37,15.0
119374,175.0,178.0,69.0,63,65,52,7.0,61.0,70,53,50,7.0
119375,180.0,180.0,57.0,52,83,55,1.0,59.0,62,56,63,8.0
119376,183.0,188.0,74.0,67,62,58,6.0,70.0,57,67,53,6.0
119377,180.0,175.0,68.0,50,85,58,3.0,71.0,61,59,55,7.0
119378,183.0,180.0,104.0,70,63,45,9.0,120.0,43,61,47,21.0
119379,190.0,183.0,82.0,69,71,60,9.0,102.0,77,59,60,16.0
119380,193.0,185.0,58.0,53,83,59,5.0,68.0,63,65,40,14.0
119381,190.0,180.0,36.0,69,84,63,1.0,47.0,57,66,30,8.0
119382,183.0,185.0,50.0,80,75,90,3.0,64.0,71,56,50,11.0
119383,188.0,185.0,41.0,56,78,55,4.0,41.0,53,54,36,5.0
119384,188.0,190.0,53.0,52,78,60,3.0,60.0,76,47,57,7.0
119385,180.0,193.0,120.0,56,66,40,17.0,120.0,64,67,34,19.0
119386,183.0,193.0,93.0,51,62,51,14.0,71.0,54,74,31,13.0
119387,180.0,201.0,86.0,53,78,62,6.0,83.0,57,68,48,8.0
119388,185.0,193.0,57.0,66,84,63,0.0,57.0,52,76,37,5.0
119389,188.0,190.0,39.0,79,80,75,4.0,48.0,66,53,25,9.0
119390,196.0,183.0,113.0,62,73,50,7.0,117.0,73,66,51,10.0
119391,183.0,190.0,95.0,58,75,56,2.0,91.0,50,86,33,7.0
119392,188.0,180.0,105.0,65,82,61,1.0,119.0,49,77,56,10.0
119393,196.0,173.0,57.0,68,76,61,1.0,47.0,63,73,47,7.0
119394,193.0,185.0,81.0,66,70,44,6.0,73.0,76,64,41,10.0
119395,190.0,193.0,92.0,58,75,68,1.0,124.0,48,75,51,11.0
119396,190.0,183.0,94.0,70,65,60,6.0,103.0,69,65,48,9.0
119397,188.0,188.0,92.0,42,76,58,5.0,103.0,65,58,69,12.0
119398,180.0,183.0,91.0,53,71,50,7.0,102.0,68,64,40,15.0
119399,180.0,185.0,82.0,47,66,62,5.0,106.0,64,70,44,13.0
119400,196.0,188.0,47.0,72,79,53,1.0,36.0,66,62,33,5.0
119401,183.0,188.0,51.0,50,73,64,3.0,49.0,57,57,38,6.0
119403,190.0,190.0,73.0,65,72,56,6.0,55.0,58,68,52,3.0
119404,188.0,180.0,50.0,54,88,65,2.0,59.0,74,63,40,11.0
119405,196.0,180.0,70.0,61,69,55,5.0,66.0,65,55,47,12.0
119406,183.0,193.0,98.0,61,65,57,10.0,101.0,50,68,44,14.0
119407,188.0,190.0,103.0,57,71,36,12.0,78.0,58,76,56,3.0
119408,183.0,196.0,54.0,57,87,34,1.0,71.0,70,52,47,13.0
119409,183.0,188.0,53.0,62,75,65,1.0,60.0,65,64,47,5.0
119410,185.0,185.0,102.0,61,71,56,12.0,78.0,56,77,50,7.0
119411,180.0,183.0,92.0,51,74,55,11.0,97.0,55,61,46,16.0
119412,180.0,201.0,31.0,70,90,44,0.0,36.0,44,75,35,4.0
119413,193.0,185.0,61.0,55,82,55,4.0,68.0,48,66,54,8.0
