,Year,tourney_name,%1stWon,Player
0,2003,Wimbledon,69.0,Rafael Nadal
1,2004,Australian Open,71.66666666666667,Rafael Nadal
2,2005,Australian Open,71.5,Rafael Nadal
3,2005,Roland Garros,70.57142857142857,Rafael Nadal
4,2005,Wimbledon,77.5,Rafael Nadal
5,2006,Roland Garros,69.42857142857143,Rafael Nadal
6,2006,Wimbledon,76.14285714285714,Rafael Nadal
7,2007,Australian Open,73.4,Rafael Nadal
8,2007,Roland Garros,73.42857142857143,Rafael Nadal
9,2007,Wimbledon,75.28571428571429,Rafael Nadal
10,2008,Australian Open,73.33333333333333,Rafael Nadal
11,2008,Roland Garros,70.42857142857143,Rafael Nadal
12,2008,Wimbledon,79.42857142857143,Rafael Nadal
13,2009,Australian Open,76.14285714285714,Rafael Nadal
14,2009,Roland Garros,70.75,Rafael Nadal
15,2010,Australian Open,71.0,Rafael Nadal
16,2010,Roland Garros,71.71428571428571,Rafael Nadal
17,2010,Wimbledon,79.14285714285714,Rafael Nadal
18,2011,Australian Open,73.4,Rafael Nadal
19,2011,Roland Garros,69.42857142857143,Rafael Nadal
20,2011,Wimbledon,77.0,Rafael Nadal
21,2012,Australian Open,76.14285714285714,Rafael Nadal
22,2012,Roland Garros,76.42857142857143,Rafael Nadal
23,2012,Wimbledon,76.5,Rafael Nadal
24,2013,Roland Garros,71.42857142857143,Rafael Nadal
25,2013,Wimbledon,65.0,Rafael Nadal
26,2014,Australian Open,74.57142857142857,Rafael Nadal
27,2014,Roland Garros,76.28571428571429,Rafael Nadal
28,2014,Wimbledon,75.25,Rafael Nadal
29,2015,Australian Open,74.6,Rafael Nadal
30,2015,Roland Garros,67.8,Rafael Nadal
31,2015,Wimbledon,66.5,Rafael Nadal
32,2016,Australian Open,69.0,Rafael Nadal
33,2016,Roland Garros,79.0,Rafael Nadal
34,2017,Australian Open,71.85714285714286,Rafael Nadal
35,2017,Roland Garros,69.57142857142857,Rafael Nadal
36,2017,Wimbledon,78.75,Rafael Nadal
37,2018,Australian Open,70.4,Rafael Nadal
38,2018,Roland Garros,75.28571428571429,Rafael Nadal
39,2018,Wimbledon,72.83333333333333,Rafael Nadal
40,2019,Australian Open,76.57142857142857,Rafael Nadal
41,2019,Roland Garros,74.85714285714286,Rafael Nadal
42,2019,Wimbledon,81.33333333333333,Rafael Nadal
43,2020,Australian Open,78.8,Rafael Nadal
44,2020,Roland Garros,70.85714285714286,Rafael Nadal
45,2021,Australian Open,79.2,Rafael Nadal
46,2021,Roland Garros,76.0,Rafael Nadal
47,2022,Australian Open,78.14285714285714,Rafael Nadal
48,2022,Roland Garros,70.71428571428571,Rafael Nadal
49,2022,Wimbledon,72.2,Rafael Nadal
50,2005,Australian Open,41.0,Novak Djokovic
51,2005,Roland Garros,64.0,Novak Djokovic
52,2005,Wimbledon,75.66666666666667,Novak Djokovic
53,2006,Australian Open,61.0,Novak Djokovic
54,2006,Roland Garros,71.6,Novak Djokovic
55,2006,Wimbledon,77.25,Novak Djokovic
56,2007,Australian Open,69.75,Novak Djokovic
57,2007,Roland Garros,67.66666666666667,Novak Djokovic
58,2007,Wimbledon,74.16666666666667,Novak Djokovic
59,2008,Australian Open,76.57142857142857,Novak Djokovic
60,2008,Roland Garros,71.16666666666667,Novak Djokovic
61,2008,Wimbledon,76.0,Novak Djokovic
62,2009,Australian Open,71.4,Novak Djokovic
63,2009,Roland Garros,71.33333333333333,Novak Djokovic
64,2009,Wimbledon,75.6,Novak Djokovic
65,2010,Australian Open,74.0,Novak Djokovic
66,2010,Roland Garros,71.4,Novak Djokovic
67,2010,Wimbledon,77.5,Novak Djokovic
68,2011,Australian Open,74.28571428571429,Novak Djokovic
69,2011,Roland Garros,78.8,Novak Djokovic
70,2011,Wimbledon,77.85714285714286,Novak Djokovic
71,2012,Australian Open,73.71428571428571,Novak Djokovic
72,2012,Roland Garros,71.28571428571429,Novak Djokovic
73,2012,Wimbledon,77.66666666666667,Novak Djokovic
74,2013,Australian Open,81.0,Novak Djokovic
75,2013,Roland Garros,74.33333333333333,Novak Djokovic
76,2013,Wimbledon,78.42857142857143,Novak Djokovic
77,2014,Australian Open,80.0,Novak Djokovic
78,2014,Roland Garros,71.85714285714286,Novak Djokovic
79,2014,Wimbledon,76.14285714285714,Novak Djokovic
80,2015,Australian Open,78.14285714285714,Novak Djokovic
81,2015,Roland Garros,73.42857142857143,Novak Djokovic
82,2015,Wimbledon,76.85714285714286,Novak Djokovic
83,2016,Australian Open,76.0,Novak Djokovic
84,2016,Roland Garros,68.57142857142857,Novak Djokovic
85,2016,Wimbledon,74.66666666666667,Novak Djokovic
86,2017,Australian Open,73.0,Novak Djokovic
87,2017,Roland Garros,69.4,Novak Djokovic
